title,speaker,calling,calling_original,year,season,url
I am happy to have the privilege of meeting with...,John Tayloe,President John Tayloe,President John Tayloe,1880,April,https://archive.org/details/conferencereport1880a
"President, brethren and sisters: God bless you, (Amen), and may...",Wilfokd Woodruff,Elder Wilfokd Woodruff,Elder Wilfokd Woodruff,1880,April,https://archive.org/details/conferencereport1880a
"It is many months since I attempted, except on one...",Orson Pbatt,Elder Orson Pbatt,Elder Orson Pbatt,1880,April,https://archive.org/details/conferencereport1880a
I have been very much interested — as no doubt...,John Taylor,President John Taylor,President John Taylor,1880,April,https://archive.org/details/conferencereport1880a
We have been highly edified during our meetings in this...,Brigham Young,Elder Brigham Young,Elder Brigham Young,1880,April,https://archive.org/details/conferencereport1880a
"While listening to Brother Young, my mind reverted to one...",Joseph F. Smith,Elder Joseph F. Smith,Elder Joseph F. Smith,1880,April,https://archive.org/details/conferencereport1880a
He recollected the day when the Church consisted of a...,Joseph Young,President Joseph Young,President Joseph Young,1880,April,https://archive.org/details/conferencereport1880a
Expressed his pleasure at the instructions that had been imparted...,A. O. Smoot,Elder A. O. Smoot,Elder A. O. Smoot,1880,April,https://archive.org/details/conferencereport1880a
It is very pleasing to find that we have so...,Franklin D. Richards,Elder Franklin D. Richards,Elder Franklin D. Richards,1880,April,https://archive.org/details/conferencereport1880a
"Said he was seventy-seven years old to-day, and nearly fifty...",Levi W. Hancock,Elder Levi W. Hancock,Elder Levi W. Hancock,1880,April,https://archive.org/details/conferencereport1880a
"The principle of tithing I heartily believe in, for the...",L. W. Hardy,Bishop L. W. Hardy,Bishop L. W. Hardy,1880,April,https://archive.org/details/conferencereport1880a
I do not know whether we fully understand what is...,John Tayloe,President John Tayloe,President John Tayloe,1880,April,https://archive.org/details/conferencereport1880a
"At any time at your pleasure, by turning to the...",Albert Carrington,Elder Albert Carrington,Elder Albert Carrington,1880,April,https://archive.org/details/conferencereport1880a
"We, as Latter-day Saints, profess to believe in the Lord...",Lorenzo Snow,Elder Lorenzo Snow,Elder Lorenzo Snow,1880,April,https://archive.org/details/conferencereport1880a
"""A little one shall become a thousand, and a small...",Wilford Woodruff,Elder Wilford Woodruff,Elder Wilford Woodruff,1880,April,https://archive.org/details/conferencereport1880a
I am thankful for the opportunity of making a few...,Charles C. Rich,Elder Charles C. Rich,Elder Charles C. Rich,1880,April,https://archive.org/details/conferencereport1880a
"St. Paul once said, ""If in this life only we...",Erastus Snow,Elder Erastus Snow,Elder Erastus Snow,1880,April,https://archive.org/details/conferencereport1880a
I can bear testimony to the discourses we have had this morning.,Joseph F. Smith,Elder Joseph F. Smith,Elder Joseph F. Smith,1880,April,https://archive.org/details/conferencereport1880a
little^ WWk6HP °n ^ l0ng6r' °r Sha11 We 1uit?,John Taylor,President John Taylor,President John Taylor,1880,April,https://archive.org/details/conferencereport1880a
Missionary Work Effective.— Good Effect of Conferences.—Object of the Saints...,Anthon H. Lund,Elder Anthon H. Lund,Elder Anthon H. Lund,1897,October,https://archive.org/details/conferencereport1897sa
"The Divine Origin of the Church,— Officers not Self-appointed, —...",Marriner W. Merrill,Elder Marriner W. Merrill,Elder Marriner W. Merrill,1897,October,https://archive.org/details/conferencereport1897sa
